Citrus County Detention Facility ,"Citrus County, ",760,Multi ,Detention ,Sep-20,Indefinite
"Lecanto, Florida ",Florida ,,,,2020,
Lake City Correctional Facility ,State of ,893,Medium ,Correctional ,16-Jun,Indefinite 
"Lake City, Florida ",Florida ,,,,,
Marion County Jail ,"Marion County, ","1,030",Multi ,Detention ,Dec-17,(1) 10 year 
"Indianapolis, Indiana ",Indiana ,,,,2017,
Hardeman County Correctional Facility ,State of ,"2,016",Medium ,Correctional ,17-May,- 
"Whiteville, Tennessee ",Tennessee ,,,,,
Metro-Davidson County Detention  ,Davidson ,"1,348",Multi ,Detention ,20-Jan,- 
"Nashville, Tennessee ",Tennessee ,,,,,
Silverdale Facilities ,Hamilton ,"1,046",Multi ,Detention ,16-Apr,- 
"Chattanooga, Tennessee ","County, ",,,,,
South Central Correctional Center ,State of ,"1,676",Medium ,Correctional ,16-Jun,(1) 2 year 
"Clifton, Tennessee ",Tennessee , ,,,,
Bartlett State Jail  ,State of ,"1,049",Minimum/ Medium ,Correctional ,17-Aug,- 
"Bartlett, Texas ",Texas ,,,,,
Bradshaw State Jail  ,State of  ,"1,980",Minimum/ Medium ,Correctional ,17-Aug,- 
"Henderson, Texas ",Texas ,,,,,
Lindsey State Jail  ,State of ,"1,031",Minimum/ Medium ,Correctional ,17-Aug,- 
"Jacksboro, Texas ",Texas ,,,,,
Willacy State Jail  ,State of ,"1,069",Minimum/ Medium ,Correctional ,17-Aug,- 
"Raymondville, Texas ",Texas ,,,,,
